nonsense
L1:3, L2:4, L3:1, bigFreqLv:8, littleFreqLv:8
L1:4, L2:3, L3:1, bigFreqLv:7, littleFreqLv:7
L1:1, L2:3, L3:4, bigFreqLv:2, littleFreqLv:1
L1:3, L2:3, L3:2, bigFreqLv:8, littleFreqLv:8
L1:4, L2:1, L3:3, bigFreqLv:2, littleFreqLv:1
L1:1, L2:6, L3:1, bigFreqLv:0, littleFreqLv:4
L1:1, L2:1, L3:6, bigFreqLv:7, littleFreqLv:2
L1:7, L2:0, L3:1, bigFreqLv:5, littleFreqLv:7
L1:7, L2:1, L3:0, bigFreqLv:7, littleFreqLv:4
L1:1, L2:6, L3:1, bigFreqLv:9, littleFreqLv:5
L1:2, L2:6, L3:0, bigFreqLv:12, littleFreqLv:3
L1:1, L2:2, L3:5, bigFreqLv:6, littleFreqLv:5
L1:4, L2:3, L3:1, bigFreqLv:6, littleFreqLv:8
L1:2, L2:1, L3:5, bigFreqLv:12, littleFreqLv:2
L1:1, L2:2, L3:5, bigFreqLv:10, littleFreqLv:3
L1:6, L2:0, L3:2, bigFreqLv:9, littleFreqLv:4
L1:1, L2:2, L3:5, bigFreqLv:3, littleFreqLv:3
L1:2, L2:4, L3:2, bigFreqLv:10, littleFreqLv:6
L1:3, L2:3, L3:2, bigFreqLv:11, littleFreqLv:1
L1:1, L2:6, L3:1, bigFreqLv:4, littleFreqLv:4
