[1706280163.7722404] starting program
[1706280163.8198326] Ok
[1706280208.9359787] Little Frequency: 500000, Big Frequency: 500000, GPU On: 0, pp1:7, pp2:7, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s3_input:0.026255, s3_inference:19.653400, s1_input:0.007146, s1_inference:456.278015, fps:2.191610,
[1706280227.0879517] Little Frequency: 1800000, Big Frequency: 1608000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001278, s1_inference:44.282001, s2_input:28.711700, s2_inference:15.107200, s3_input:0.134982, s3_inference:118.705002, fps:8.414670,
[1706280253.2081394] Little Frequency: 1512000, Big Frequency: 667000, GPU On: 0, pp1:1, pp2:1, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001996, s1_inference:32.014500, s3_input:0.214485, s3_inference:290.053986, fps:3.445090,
[1706280273.5482163] Little Frequency: 1704000, Big Frequency: 1398000, GPU On: 1, pp1:2, pp2:3, order:B-G-L, s1_input:0.001683, s1_inference:40.611301, s2_input:21.235800, s2_inference:19.033800, s3_input:0.135898, s3_inference:144.714996, fps:6.903630,
[1706280313.5623152] Little Frequency: 667000, Big Frequency: 1908000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.002080, s1_inference:14.730400, s2_input:0.401118, s2_inference:19.045500, s3_input:0.140664, s3_inference:374.058990, fps:2.672370,
[1706280331.5445826] Little Frequency: 1800000, Big Frequency: 667000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001555, s1_inference:128.278000, s2_input:58.035198, s2_inference:69.606003, fps:7.795490,
[1706280348.508606] Little Frequency: 667000, Big Frequency: 1000000, GPU On: 1, pp1:4, pp2:6, order:B-G-L, s1_input:0.001497, s1_inference:78.868202, s2_input:15.885000, s2_inference:62.803101, s3_input:0.025302, s3_inference:81.834198, fps:12.216100,
[1706280376.162772] Little Frequency: 1608000, Big Frequency: 667000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001889, s1_inference:248.554993, s2_input:217.013000, s2_inference:27.943300, s3_input:236.531006, s3_inference:8.071710, fps:4.023220,
[1706280414.0609028] Little Frequency: 500000, Big Frequency: 667000, GPU On: 0, pp1:4, pp2:4, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001960, s1_inference:109.833000, s3_input:0.252901, s3_inference:341.395996, fps:2.926980,
[1706280427.5287523] Little Frequency: 1200000, Big Frequency: 1398000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.002115, s1_inference:58.803398, s2_input:0.442802, s2_inference:64.785202, s3_input:52.100201, s3_inference:11.110500, fps:15.330800,
[1706280442.2686615] Little Frequency: 1200000, Big Frequency: 1200000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001376, s1_inference:73.745102, s2_input:8.983740, s2_inference:64.672699, fps:13.560000,
[1706280469.0661328] Little Frequency: 1000000, Big Frequency: 1608000, GPU On: 1, pp1:1, pp2:4, order:B-G-L, s1_input:0.001496, s1_inference:16.743700, s2_input:0.486639, s2_inference:32.475601, s3_input:0.167730, s3_inference:180.106003, fps:5.547120,
[1706280486.9759946] Little Frequency: 1200000, Big Frequency: 2016000, GPU On: 0, pp1:4, pp2:4, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001213, s1_inference:40.725800, s3_input:0.149926, s3_inference:154.582001, fps:6.462790,
[1706280502.7732255] Little Frequency: 1512000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002433, s1_inference:16.322800, s2_input:0.335324, s2_inference:83.982903, fps:11.859800,
[1706280522.377058] Little Frequency: 1608000, Big Frequency: 1000000, GPU On: 1, pp1:1, pp2:7, order:B-G-L, s1_input:0.001567, s1_inference:25.707100, s2_input:0.602238, s2_inference:83.407898, s3_input:73.310997, s3_inference:8.444440, fps:11.903300,
[1706280537.269269] Little Frequency: 667000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:6, order:B-G-L, s1_input:0.001554, s1_inference:36.873798, s2_input:0.287600, s2_inference:63.903400, s3_input:0.024706, s3_inference:83.742500, fps:11.937800,
[1706280546.5612488] Little Frequency: 1200000, Big Frequency: 2016000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001111, s1_inference:58.986698, s2_input:0.149875, s2_inference:59.174500, s3_input:43.935001, s3_inference:13.717500, fps:16.856501,
[1706280559.776015] Little Frequency: 1800000, Big Frequency: 1608000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.001445, s1_inference:43.679401, s2_input:0.254546, s2_inference:69.233498, s3_input:58.691200, s3_inference:8.755670, fps:14.391000,
[1706280573.0576594] Little Frequency: 1800000, Big Frequency: 1908000, GPU On: 1, pp1:6, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001388, s1_inference:94.718498, s2_input:57.853199, s2_inference:35.979599, fps:10.557400,
[1706280584.525507] Little Frequency: 1398000, Big Frequency: 2208000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.013024, s1_inference:43.345402, s2_input:0.310768, s2_inference:64.400200, s3_input:51.658199, s3_inference:10.947700, fps:15.453300,
[1706280602.0656254] Little Frequency: 667000, Big Frequency: 1000000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.004102, s1_inference:64.588097, s2_input:0.452018, s2_inference:74.089401, fps:13.415400,
[1706280628.4606755] Little Frequency: 1398000, Big Frequency: 1800000, GPU On: 0, pp1:1, pp2:1, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001247, s1_inference:13.283100, s3_input:0.150167, s3_inference:298.513000, fps:3.348250,
[1706280667.725803] Little Frequency: 667000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.001740, s1_inference:18.958900, s2_input:0.602211, s2_inference:27.948299, s3_input:0.210516, s3_inference:315.628998, fps:3.166170,
[1706280688.248881] Little Frequency: 1200000, Big Frequency: 1704000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001332, s1_inference:47.758202, s2_input:35.150101, s2_inference:12.041800, s3_input:0.028700, s3_inference:129.873993, fps:7.698050,
[1706280710.5980306] Little Frequency: 1200000, Big Frequency: 1512000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001230, s1_inference:47.672199, s2_input:31.961300, s2_inference:15.194300, s3_input:0.150914, s3_inference:155.201996, fps:6.436980,
[1706280729.1100597] Little Frequency: 1608000, Big Frequency: 2016000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001106, s1_inference:36.964001, s2_input:21.060499, s2_inference:15.563800, s3_input:0.137831, s3_inference:125.983002, fps:7.928920,
[1706280756.2345717] Little Frequency: 1000000, Big Frequency: 1800000, GPU On: 1, pp1:2, pp2:3, order:B-G-L, s1_input:0.001112, s1_inference:34.310101, s2_input:13.803800, s2_inference:20.262899, s3_input:0.166823, s3_inference:218.001999, fps:4.583600,
[1706280789.4584594] Little Frequency: 1608000, Big Frequency: 500000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001978, s1_inference:165.645004, s2_input:87.994202, s2_inference:76.466698, fps:6.036940,
[1706280822.6945412] Little Frequency: 667000, Big Frequency: 1704000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001278, s1_inference:43.036900, s2_input:27.273100, s2_inference:15.330800, s3_input:0.203828, s3_inference:262.326996, fps:3.809070,
[1706280842.5226104] Little Frequency: 1200000, Big Frequency: 2100000, GPU On: 0, pp1:3, pp2:3, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001188, s1_inference:34.851700, s3_input:0.147131, s3_inference:184.363998, fps:5.419720,
[1706280856.8026505] Little Frequency: 667000, Big Frequency: 2100000, GPU On: 1, pp1:4, pp2:6, order:B-G-L, s1_input:0.001697, s1_inference:48.484299, s2_input:0.426516, s2_inference:53.785999, s3_input:0.024908, s3_inference:90.332703, fps:11.067100,
[1706280866.5708494] Little Frequency: 1512000, Big Frequency: 1908000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001312, s1_inference:60.513901, s2_input:0.135722, s2_inference:61.613602, fps:16.194500,
[1706280894.4707835] Little Frequency: 1800000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.001921, s1_inference:36.228001, s2_input:2.666640, s2_inference:33.563400, s3_input:0.207498, s3_inference:157.419006, fps:6.344120,
[1706280909.5988703] Little Frequency: 500000, Big Frequency: 2016000, GPU On: 0, pp1:6, pp2:6, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s3_input:0.024825, s3_inference:99.872398, s1_input:0.001297, s1_inference:88.733803, fps:10.010300,
[1706280923.126872] Little Frequency: 1608000, Big Frequency: 2016000, GPU On: 0, pp1:7, pp2:7, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s3_input:0.012044, s3_inference:6.696780, s1_input:0.001066, s1_inference:103.712997, fps:9.641870,
[1706280941.8549812] Little Frequency: 1512000, Big Frequency: 1608000, GPU On: 1, pp1:3, pp2:5, order:B-G-L, s1_input:0.001282, s1_inference:44.686600, s2_input:19.696699, s2_inference:24.673500, s3_input:0.027360, s3_inference:111.582001, fps:8.959800,
[1706280959.282609] Little Frequency: 1398000, Big Frequency: 1200000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001372, s1_inference:137.610992, s2_input:108.101997, s2_inference:27.717600, s3_input:127.105003, s3_inference:8.372730, fps:7.266810,
[1706280973.4990761] Little Frequency: 1200000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001362, s1_inference:45.609798, s2_input:0.244926, s2_inference:72.861198, fps:13.678800,
[1706280990.9592717] Little Frequency: 1800000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:5, order:B-G-L, s1_input:0.001448, s1_inference:35.207001, s2_input:7.503600, s2_inference:27.626400, s3_input:0.026195, s3_inference:103.575996, fps:9.652260,
