[1706438446.6663828] starting program
[1706438446.7142067] Ok
[1706438481.9862454] Little Frequency: 1800000, Big Frequency: 500000, GPU On: 1, pp1:4, pp2:6, order:B-G-L, s1_input:0.001932, s1_inference:158.300995, s2_input:91.583000, s2_inference:65.431999, s3_input:106.222000, s3_inference:49.987000, fps:6.317000,
[1706438502.9101267] Little Frequency: 1800000, Big Frequency: 1512000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001567, s1_inference:17.908501, s2_input:0.493444, s2_inference:19.532200, s3_input:0.099620, s3_inference:167.940002, fps:5.950970,
[1706438519.4298365] Little Frequency: 1608000, Big Frequency: 1000000, GPU On: 1, pp1:4, pp2:7, order:B-G-L, s1_input:0.001392, s1_inference:84.997498, s2_input:21.060600, s2_inference:63.580200, s3_input:74.409698, s3_inference:8.389520, fps:11.764900,
[1706438535.1942031] Little Frequency: 667000, Big Frequency: 1608000, GPU On: 0, pp1:8, pp2:8, order:B-G-L, s3_input:0.000000, s2_inference:0.000000, s1_input:0.000815, s1_inference:132.367996, fps:7.554620,
[1706438549.9008808] Little Frequency: 1608000, Big Frequency: 1908000, GPU On: 1, pp1:1, pp2:7, order:B-G-L, s1_input:0.001458, s1_inference:15.128900, s2_input:0.285170, s2_inference:80.898102, s3_input:70.065201, s3_inference:8.309870, fps:12.317800,
[1706438562.9822502] Little Frequency: 1608000, Big Frequency: 1398000, GPU On: 1, pp1:3, pp2:6, order:B-G-L, s1_input:0.001803, s1_inference:55.322498, s2_input:0.458653, s2_inference:59.072201, s3_input:0.594036, s3_inference:58.707901, fps:16.798000,
[1706438597.5610592] Little Frequency: 1000000, Big Frequency: 500000, GPU On: 1, pp1:1, pp2:6, order:B-G-L, s1_input:0.002211, s1_inference:50.268200, s2_input:0.911122, s2_inference:87.243301, s3_input:9.549470, s3_inference:77.487297, fps:11.343700,
[1706438619.914297] Little Frequency: 667000, Big Frequency: 667000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.001731, s1_inference:113.792000, s2_input:33.522701, s2_inference:79.236298, s3_input:95.828796, s3_inference:15.185200, fps:8.787870,
[1706438638.238355] Little Frequency: 1608000, Big Frequency: 1800000, GPU On: 0, pp1:2, pp2:2, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001329, s1_inference:32.568100, s3_input:0.088893, s3_inference:177.181000, fps:5.641130,
[1706438660.6502073] Little Frequency: 1398000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:3, order:B-G-L, s1_input:0.001756, s1_inference:39.251598, s2_input:16.828899, s2_inference:22.118601, s3_input:0.148710, s3_inference:167.895004, fps:5.950840,
[1706438701.4509904] Little Frequency: 500000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001672, s1_inference:16.578400, s2_input:0.466942, s2_inference:38.536098, s3_input:0.044685, s3_inference:287.181000, fps:3.481590,
