[1705928950.318516] Voltage: 4.98V, Current: 392.80mA, Power: 1958.02mW
[1705928950.3188896] Voltage: 4.99V, Current: 379.20mA, Power: 1890.79mW
[1705928950.3191054] Voltage: 4.99V, Current: 376.20mA, Power: 1876.13mW
[1705928950.3193069] Voltage: 4.99V, Current: 385.80mA, Power: 1923.88mW
[1705928950.3195608] Voltage: 4.98V, Current: 379.20mA, Power: 1889.50mW
[1705928950.3198109] Voltage: 4.98V, Current: 385.70mA, Power: 1921.65mW
[1705928950.320028] Voltage: 4.98V, Current: 392.80mA, Power: 1958.02mW
[1705928951.9793332] Voltage: 4.99V, Current: 385.70mA, Power: 1923.75mW
[1705928952.0284543] Voltage: 4.98V, Current: 388.40mA, Power: 1935.34mW
[1705928952.0818286] Voltage: 4.99V, Current: 432.10mA, Power: 2154.40mW
[1705928952.1309583] Voltage: 4.99V, Current: 391.30mA, Power: 1952.20mW
[1705928952.1805346] Voltage: 4.99V, Current: 389.30mA, Power: 1942.79mW
[1705928952.2293012] Voltage: 4.98V, Current: 403.20mA, Power: 2009.15mW
[1705928952.2783968] Voltage: 4.98V, Current: 396.30mA, Power: 1974.68mW
[1705928952.3317068] Voltage: 4.99V, Current: 407.80mA, Power: 2035.33mW
[1705928952.3808582] Voltage: 5.00V, Current: 400.10mA, Power: 1999.52mW
[1705928952.4299476] Voltage: 4.99V, Current: 428.10mA, Power: 2135.05mW
[1705928952.479181] Voltage: 4.98V, Current: 385.80mA, Power: 1920.78mW
[1705928952.5323086] Voltage: 4.99V, Current: 397.30mA, Power: 1980.98mW
[1705928952.581529] Voltage: 4.98V, Current: 375.70mA, Power: 1871.72mW
[1705928952.6306741] Voltage: 4.98V, Current: 401.30mA, Power: 1999.62mW
[1705928952.679956] Voltage: 4.99V, Current: 385.80mA, Power: 1923.39mW
[1705928952.7289984] Voltage: 4.98V, Current: 389.80mA, Power: 1941.83mW
[1705928952.782241] Voltage: 4.99V, Current: 399.20mA, Power: 1990.40mW
[1705928952.8313942] Voltage: 4.98V, Current: 400.70mA, Power: 1997.10mW
[1705928952.8805032] Voltage: 4.99V, Current: 399.60mA, Power: 1992.73mW
[1705928952.9298284] Voltage: 4.98V, Current: 407.90mA, Power: 2032.64mW
[1705928952.9793253] Voltage: 4.99V, Current: 382.70mA, Power: 1908.59mW
[1705928953.0320253] Voltage: 4.98V, Current: 391.70mA, Power: 1951.57mW
[1705928953.0812232] Voltage: 4.98V, Current: 423.70mA, Power: 2111.11mW
[1705928953.130344] Voltage: 4.98V, Current: 409.00mA, Power: 2035.45mW
[1705928953.1796935] Voltage: 4.98V, Current: 387.20mA, Power: 1929.07mW
[1705928953.2327902] Voltage: 4.98V, Current: 378.80mA, Power: 1886.01mW
[1705928953.2819562] Voltage: 4.99V, Current: 389.60mA, Power: 1942.37mW
[1705928953.3311427] Voltage: 4.98V, Current: 390.00mA, Power: 1943.12mW
[1705928953.3801506] Voltage: 4.99V, Current: 382.20mA, Power: 1906.11mW
[1705928953.4293678] Voltage: 4.98V, Current: 397.10mA, Power: 1978.48mW
[1705928953.4826622] Voltage: 4.99V, Current: 395.70mA, Power: 1973.02mW
[1705928953.5322664] Voltage: 4.98V, Current: 411.60mA, Power: 2047.95mW
[1705928953.5814095] Voltage: 4.98V, Current: 388.80mA, Power: 1938.09mW
[1705928953.630083] Voltage: 4.98V, Current: 380.30mA, Power: 1895.62mW
[1705928953.6793911] Voltage: 4.99V, Current: 390.30mA, Power: 1946.02mW
[1705928953.7325401] Voltage: 4.99V, Current: 416.20mA, Power: 2075.34mW
[1705928953.782076] Voltage: 4.99V, Current: 395.90mA, Power: 1976.61mW
[1705928953.8308926] Voltage: 4.98V, Current: 377.90mA, Power: 1881.68mW
[1705928953.8799973] Voltage: 4.99V, Current: 383.50mA, Power: 1912.52mW
[1705928953.9291968] Voltage: 4.99V, Current: 405.10mA, Power: 2020.37mW
[1705928953.9824333] Voltage: 4.99V, Current: 384.20mA, Power: 1917.92mW
[1705928954.0315864] Voltage: 4.99V, Current: 385.90mA, Power: 1924.73mW
[1705928954.0808353] Voltage: 4.99V, Current: 396.90mA, Power: 1979.39mW
[1705928954.1299465] Voltage: 4.99V, Current: 400.00mA, Power: 1995.56mW
[1705928954.1830833] Voltage: 4.99V, Current: 398.00mA, Power: 1985.15mW
[1705928954.2322588] Voltage: 4.98V, Current: 393.50mA, Power: 1959.72mW
[1705928954.281425] Voltage: 4.99V, Current: 382.60mA, Power: 1909.53mW
[1705928954.3304718] Voltage: 4.98V, Current: 408.90mA, Power: 2037.59mW
[1705928954.3794804] Voltage: 4.99V, Current: 418.00mA, Power: 2085.31mW
[1705928954.4331384] Voltage: 4.99V, Current: 439.60mA, Power: 2193.31mW
[1705928954.4820528] Voltage: 4.98V, Current: 385.00mA, Power: 1916.92mW
[1705928954.5313] Voltage: 4.98V, Current: 380.10mA, Power: 1894.57mW
[1705928954.5805035] Voltage: 4.99V, Current: 389.70mA, Power: 1943.20mW
[1705928954.6296625] Voltage: 4.99V, Current: 383.40mA, Power: 1911.94mW
[1705928954.6829069] Voltage: 4.99V, Current: 402.90mA, Power: 2008.80mW
[1705928954.7328286] Voltage: 4.99V, Current: 419.20mA, Power: 2091.36mW
[1705928954.7808204] Voltage: 4.99V, Current: 387.90mA, Power: 1934.48mW
[1705928954.8300393] Voltage: 4.98V, Current: 400.20mA, Power: 1994.27mW
[1705928954.8835328] Voltage: 4.99V, Current: 397.60mA, Power: 1984.35mW
[1705928954.9324646] Voltage: 4.99V, Current: 373.80mA, Power: 1864.40mW
